"data_point_number","data_point_code","name_en","name_zh","legal_source","ev_status","lmt_status","industrial_status","chapter","data_level","data_type","unit","access","dynamic","canonical_field_code","legacy_field_codes","mapping_quality","field_origin","evidence_required","expert_review_status","expert_review_note","source_note"
"1","DP-01","Unique identifier","唯一标识符","BR Article 77(3)","mandatory","mandatory","mandatory","identity","individual","uri","","public","false","battery.unique_battery_identifier_unique_product_identifier","battery.unique_battery_passport_identifier_unique_dpp_identifier","A","eu_guidance_v2","false","pending","Confirm identifier scheme and item-level issuance policy.","Mandatory for EV, LMT and industrial batteries."
"2","DP-02","Identity of who is registering and/or is responsible for the battery passport","电池护照登记方及责任主体身份","BR Article 77(3)","mandatory","mandatory","mandatory","identity","model","object","","regulator","false","battery.economic_operator_information","battery.unique_economic_operator_identifier","B","eu_guidance_v2","true","pending","Confirm the responsible economic operator and identifier.","Mandatory for EV, LMT and industrial batteries."
"3","DP-03","Manufacturer name, registered trade name or registered trademark","制造商名称、注册商号或注册商标","BR Annex VI A(1)","mandatory","mandatory","mandatory","manufacturing","model","string","","public","false","battery.manufacturer_information","","A","eu_guidance_v2","false","not_required","","Mandatory for EV, LMT and industrial batteries."
"4","DP-04","Manufacturer postal address, indicating a single contact point","制造商邮政地址及单一联系点","BR Annex VI A(1)","mandatory","mandatory","mandatory","manufacturing","model","string","","public","false","battery.manufacturer_postal_address","battery.manufacturer_information","B","eu_guidance_v2","false","pending","Confirm a single contact point is included.","Mandatory for EV, LMT and industrial batteries."
"5","DP-05","Manufacturer web and email address, if available","制造商网站和电子邮箱（如有）","BR Annex VI A(1)","optional","optional","optional","manufacturing","model","object","","public","false","battery.manufacturer_web_email","battery.manufacturer_information","B","eu_guidance_v2","false","not_required","","Optional; fill when the data is available."
"6","DP-06","Battery category","电池类别","BR Annex VI A(2)","mandatory","mandatory","mandatory","identity","model","string","","public","false","battery.battery_category","","A","eu_guidance_v2","false","pending","Confirm the category against Article 3 definitions.","Mandatory for EV, LMT and industrial batteries."
"7","DP-07","Model identification and batch or serial number, product number or another identifying element","型号标识及批次号、序列号、产品编号或其他识别要素","BR Annex VI A(2)","mandatory","mandatory","mandatory","identity","individual","object","","public","false","battery.battery_model_identifier","battery.battery_serial_number","B","eu_guidance_v2","false","pending","Review model, batch and serial inheritance at publication.","Mandatory; the applicable identifying element depends on passport granularity."
"8","DP-08","Place of manufacture","制造地点","BR Annex VI A(3)","mandatory","mandatory","mandatory","manufacturing","batch","string","","public","false","battery.manufacturing_place","battery.unique_facility_identifier","A","eu_guidance_v2","false","not_required","","Geographical location of the battery manufacturing plant."
"9","DP-09","Date of manufacturing (month and year)","制造日期（年和月）","BR Annex VI A(4)","mandatory","mandatory","mandatory","manufacturing","batch","date","","public","false","battery.manufacturing_date","","A","eu_guidance_v2","false","not_required","","Mandatory for EV, LMT and industrial batteries."
"10","DP-10","Weight","电池重量","BR Annex VI A(5)","mandatory","mandatory","mandatory","identity","model","decimal","kg","public","false","battery.battery_mass","","A","eu_guidance_v2","false","not_required","","Mandatory for EV, LMT and industrial batteries."
"11","DP-11","Capacity","额定容量","BR Annex VI A(6)","mandatory","mandatory","mandatory","performance","model","decimal","Ah","public","false","battery.rated_capacity","","A","eu_guidance_v2","true","pending","Confirm rated capacity and test basis.","Mandatory static capacity declaration."
"12","DP-12","Chemistry","电池化学体系","BR Annex VI A(7)","mandatory","mandatory","mandatory","materials","model","string","","public","false","battery.battery_chemistry","","A","eu_guidance_v2","false","pending","Use an approved chemistry code where available.","Mandatory for EV, LMT and industrial batteries."
"13","DP-13","Hazardous substances other than mercury, cadmium or lead","除汞、镉或铅以外的危险物质","BR Annex VI A(8)","mandatory","mandatory","mandatory","materials","model","array","","public","false","battery.hazardous_substances","","A","eu_guidance_v2","true","pending","Confirm substance identifiers and concentration basis.","Mandatory for EV, LMT and industrial batteries."
"14","DP-14","Usable extinguishing agent","可用灭火剂","BR Annex VI A(9)","mandatory","mandatory","mandatory","safety","model","string","","public","false","battery.extinguishing_agent","","A","eu_guidance_v2","true","pending","Confirm against product safety documentation.","Mandatory for EV, LMT and industrial batteries."
"15","DP-15","Critical raw materials above 0.1% by weight","质量占比超过 0.1% 的关键原材料","BR Annex VI A(10)","mandatory","mandatory","mandatory","materials","model","array","% w/w","public","false","battery.critical_raw_materials","","A","eu_guidance_v2","true","pending","Confirm threshold calculation and material identifiers.","Mandatory where concentration exceeds 0.1% weight by weight."
"16","DP-16","Material composition of the battery","电池材料组成","BR Annex XIII 1(b)","duplicate","duplicate","duplicate","materials","model","object","","professional","false","battery.material_composition_duplicate","battery.battery_chemistry|battery.hazardous_substances|battery.critical_raw_materials","D","eu_guidance_v2","false","not_required","","Do not fill/display; repeats chemistry, hazardous substances and critical raw materials already required."
"17","DP-17","Carbon footprint declaration","碳足迹声明","BR Annex XIII 1(c)","future","future","future","sustainability","batch","uri","","public","false","battery.carbon_footprint_declaration","battery.web_link_to_public_carbon_footprint_study","B","eu_guidance_v2","true","pending","Await the implementing-act format.","Not to be filled/displayed as of February 2027; format is still to be specified in an implementing act."
"18","DP-18","Carbon footprint label","碳足迹标签","BR Annex XIII 1(c)","future","future","future","sustainability","batch","uri","","public","false","battery.carbon_footprint_label","","A","eu_guidance_v2","true","pending","Await the implementing-act format.","Not to be filled/displayed as of February 2027; format is still to be specified in an implementing act."
